name,team,imageUrl,overallAvg,basesEmptyAvg,runner1Avg,runner2Avg,runner3Avg,runner12Avg,runner13Avg,runner23Avg,basesLoadedAvg
김태근,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69207.jpg,0.333,,,,,,,,
박승규,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69418.jpg,0.287,0.306,0.333,0.000,0.000,0.250,0.250,1.000,0.000
김지찬,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50458.jpg,0.281,0.304,0.196,0.158,0.333,0.474,0.167,0.286,0.231
김태훈,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/65040.jpg,0.237,0.240,0.304,0.000,0.000,0.000,1.000,0.000,0.500
김헌곤,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/61404.jpg,0.225,0.266,0.257,0.059,0.500,0.000,0.000,0.333,0.000
함수호,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55440.jpg,0.214,,,,,,,,
이성규,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66409.jpg,0.198,0.206,0.083,0.500,0.500,0.077,0.000,0.286,0.000
윤정빈,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68463.jpg,0.175,0.160,0.125,0.500,,0.500,0.000,,0.000
홍현빈,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/67005.jpg,0.125,0.118,0.111,1.000,0.000,0.000,0.000,,0.000
김재혁,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52424.jpg,0.000,,,,,,,,
주효상,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66354.jpg,0.333,,,,,,,,
김태군,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/78122.jpg,0.258,0.244,0.277,0.143,0.625,0.250,0.000,0.167,0.375
한승택,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/63722.jpg,0.238,0.375,0.200,,0.000,0.333,0.000,0.000,0.000
한준수,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68646.jpg,0.225,0.197,0.333,0.056,0.167,0.286,0.200,0.200,0.333
김선빈,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/78603.jpg,0.321,0.323,0.264,0.188,0.500,0.400,0.600,0.667,0.333
김도영,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52605.jpg,0.309,0.346,0.250,0.154,0.500,0.556,0.000,0.000,0.667
윤도현,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52667.jpg,0.275,0.260,0.308,0.333,0.333,0.273,0.000,0.500,0.250
정현창,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55926.jpg,0.263,,,,,,,,
김규성,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66614.jpg,0.233,0.206,0.351,0.227,0.000,0.111,0.000,,0.444
변우혁,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69727.jpg,0.218,0.149,0.233,0.263,1.000,0.375,0.000,0.333,0.400
박민,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50657.jpg,0.202,0.241,0.095,0.333,0.000,0.125,0.250,1.000,0.000
황대인,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/65610.jpg,0.189,0.154,0.182,0.200,0.000,0.250,1.000,0.333,0.000
최정용,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/65464.jpg,0.167,,,,,,,,
서건창,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/78168.jpg,0.136,,,,,,,,
정해원,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/53659.jpg,0.075,,,,,,,,
고종욱,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/61353.jpg,0.296,0.309,0.211,0.333,0.000,0.364,0.000,1.000,0.500
김호령,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/65653.jpg,0.283,0.297,0.254,0.048,0.333,0.217,0.300,0.800,0.556
박정우,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/67609.jpg,0.274,0.290,0.250,0.167,1.000,0.200,0.000,,1.000
나성범,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/62947.jpg,0.268,0.285,0.240,0.438,0.167,0.161,0.250,0.000,0.750
김석환,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/67610.jpg,0.265,0.231,0.261,0.500,0.000,0.333,0.000,1.000,0.500
이창진,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/64560.jpg,0.161,0.133,0.333,0.400,,0.000,0.000,0.000,0.333
박헌,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55637.jpg,0.083,,,,,,,,
박재현,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55636.jpg,0.081,0.079,0.143,0.000,,0.000,0.500,,0.000
김기연,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66112.jpg,0.247,0.218,0.349,0.200,0.143,0.231,0.000,0.286,0.375
류현준,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54219.jpg,0.136,0.167,0.000,,0.000,0.250,,,0.000
김성재,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55216.jpg,0.000,,,,,,,,
박민준,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/53204.jpg,0.000,,,,,,,,
박성재,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51298.jpg,0.000,0.000,0.000,,,,,,0.000
장승현,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/63202.jpg,0.000,,,,,,,,
박지훈,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50204.jpg,0.417,,,,,,,,
안재석,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51203.jpg,0.319,0.288,0.200,0.429,1.000,0.400,0.500,0.667,1.000
박준순,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55252.jpg,0.284,0.309,0.262,0.192,0.200,0.348,0.143,0.286,0.000
임종성,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54236.jpg,0.277,0.279,0.211,0.333,0.000,0.600,0.000,0.250,0.500
박계범,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/64468.jpg,0.263,0.238,0.182,0.429,0.143,0.333,0.000,0.333,0.667
오명진,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50208.jpg,0.263,0.274,0.268,0.208,0.200,0.182,0.444,0.182,0.333
양석환,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/64153.jpg,0.248,0.273,0.226,0.231,0.167,0.130,0.286,0.500,0.167
이유찬,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/67207.jpg,0.242,0.255,0.268,0.286,0.000,0.143,0.167,0.200,0.250
